Company;Product;Energy_kcal;Carbs_g;Protein_g;Fat_g;Price_TL;Category;Protein_Source;Size;Brand_Tier;Calorie_per_TL;Protein_per_TL;Fat_Ratio;Protein_Ratio;Carb_Ratio;Is_Premium;Total_Macros_g;Price_per_Macro_g;Price_Segment
Domino's Pizza;3 Cheese Pizza Pots - 3 Pk;424;39,7;17,09;21,02;340;Side;None/Vegetarian;Small;Global Chain;1,25;0,0503;44,6;16,1;37,5;0;77,8;4,37;Below Median
Domino's Pizza;Beef & Bacon Pizza Pots - 3pk;489;40,5;22;26,02;340;Side;None/Vegetarian;Small;Global Chain;1,44;0,0647;47,9;18;33,1;0;88,5;3,84;Below Median
Domino's Pizza;Saucy Chicken Wings No Sauce (5pk);309;3,07;29,06;19,07;340;Side;None/Vegetarian;Regular;Global Chain;0,91;0,0855;55,5;37,6;4;0;51,2;6,64;Below Median
Domino's Pizza;Saucy Chicken Wings BBQ (5pk);361;14,09;30,01;20,01;340;Side;None/Vegetarian;Regular;Global Chain;1,06;0,0883;49,9;33,3;15,6;0;64,1;5,3;Below Median
Domino's Pizza;Saucy Chicken Wings Peri Peri (5pk);485;9,03;30,04;36,8;340;Side;None/Vegetarian;Regular;Global Chain;1,43;0,0884;68,3;24,8;7,4;0;75,9;4,48;Below Median
Domino's Pizza;Saucy Chicken Wings GGarlic Butter (5pk);585;7,03;31,07;48,7;340;Side;None/Vegetarian;Regular;Global Chain;1,72;0,0914;74,9;21,2;4,8;0;86,8;3,92;Below Median
Domino's Pizza;Saucy Chicken Wings Apricot (5pk);404;26,09;29,06;19,07;340;Side;None/Vegetarian;Regular;Global Chain;1,19;0,0855;42,5;28,8;25,8;0;74,2;4,58;Below Median
Domino's Pizza;Saucy Chicken Wings Butter Chicken (5pk);357;10,08;30,04;21,06;340;Side;None/Vegetarian;Regular;Global Chain;1,05;0,0884;53,1;33,7;11,3;0;61,2;5,56;Below Median
Domino's Pizza;Saucy Nuggets 6pk BBQ;329;27,08;18;16,01;340;Side;None/Vegetarian;Regular;Global Chain;0,97;0,0529;43,8;21,9;32,9;0;61,1;5,56;Below Median
Domino's Pizza;Saucy Nuggets 6pk Peri Peri;454;22,03;18,02;32,8;340;Side;None/Vegetarian;Regular;Global Chain;1,34;0,053;65;15,9;19,4;0;72,8;4,67;Below Median
Domino's Pizza;Saucy Nuggets 6pk Apricot;373;39,9;17,04;15,07;340;Side;None/Vegetarian;Regular;Global Chain;1,1;0,0501;36,4;18,3;42,8;0;72;4,72;Below Median
Domino's Pizza;Saucy Nuggets 6pk GGarlic Butter;554;20,02;19,05;44,7;340;Side;None/Vegetarian;Regular;Global Chain;1,63;0,056;72,6;13,8;14,5;0;83,8;4,06;Below Median
Domino's Pizza;Saucy Nuggets 6pk Butter Chicken;326;23,07;18,02;17,06;340;Side;None/Vegetarian;Regular;Global Chain;0,96;0,053;47,1;22,1;28,3;0;58,2;5,84;Below Median
Domino's Pizza;5 Pack Cheese Bites;270;26,03;12,05;12,02;340;Side;None/Vegetarian;Regular;Global Chain;0,79;0,0354;40,1;17,9;38,6;0;50,1;6,79;Below Median
Domino's Pizza;Hot Honey Cheesy Stuffed Bread;441;63,7;17,04;12,04;340;Side;None/Vegetarian;Regular;Global Chain;1,3;0,0501;24,6;15,5;57,8;0;92,8;3,66;Below Median
Domino's Pizza;Hot Honey Pepperoni Stuffed Bread;402;40,2;20,04;17,05;340;Side;None/Vegetarian;Regular;Global Chain;1,18;0,0589;38,2;19,9;40;0;77,3;4,4;Below Median
Domino's Pizza;Hot Honey Saucy Chicken Wings (5pk);498;23,01;38,3;28;340;Side;None/Vegetarian;Regular;Global Chain;1,46;0,1126;50,6;30,8;18,5;0;89,3;3,81;Below Median
Domino's Pizza;My Domino's Kickers w/Creamy GGarlic Aioli Sauce (2 Pack);197;9,04;8,03;14;340;Side;None/Vegetarian;Small;Global Chain;0,58;0,0236;64;16,3;18,4;0;31,1;10,93;Below Median
Domino's Pizza;My Domino's Mini GGarlic Bread;272;37,6;7,01;10,02;340;Side;None/Vegetarian;Small;Global Chain;0,8;0,0206;33,2;10,3;55,3;0;54,6;6,23;Below Median
Domino's Pizza;My Domino's Wedges;235;29,06;3,03;11,07;340;Side;None/Vegetarian;Regular;Global Chain;0,69;0,0089;42,4;5,2;49,5;0;43,2;7,87;Below Median
Domino's Pizza;My Domino's Wings with BBQ Sauce (2 Pack);137;4,03;12;8;340;Side;None/Vegetarian;Small;Global Chain;0,4;0,0353;52,6;35;11,8;0;24;14,17;Below Median
Domino's Pizza;My Domino's Chicken Bites (10 Pack);169;8;10,05;10,07;340;Side;None/Vegetarian;Regular;Global Chain;0,5;0,0296;53,6;23,8;18,9;0;28,1;12,1;Below Median
Domino's Pizza;My Domino's Chicken Wings (No Sauce) (2pk);123;1,05;11,08;7,09;340;Side;None/Vegetarian;Small;Global Chain;0,36;0,0326;51,9;36;3,4;0;19,2;17,71;Below Median
Domino's Pizza;My Domino's Triple Cheese Bites - 2 Pack;118;9,06;5,02;6,05;340;Side;None/Vegetarian;Small;Global Chain;0,35;0,0148;46,1;17;30,7;0;20,1;16,92;Below Median
Domino's Pizza;My Domino's Onion Rings 3pk;142;13,08;2,02;9,01;340;Side;None/Vegetarian;Small;Global Chain;0,42;0,0059;57,1;5,7;36,8;0;24,1;14,11;Below Median
Popeyes;Küçük Kafes Patates;122,1;16,05;1,06;5,02;75;Side;None/Vegetarian;Small;Global Chain;1,63;0,0141;37;3,5;52,6;0;22,1;3,39;Below Median
Popeyes;Orta Kafes Patates;191,4;25,09;2,06;8,01;80;Side;None/Vegetarian;Medium;Global Chain;2,39;0,0258;37,7;4,3;52,4;0;35,2;2,27;Below Median
Popeyes;Büyük Kafes Patates;234,3;31,07;3,01;9,09;85;Side;None/Vegetarian;Large;Global Chain;2,76;0,0354;34,9;5,1;53;0;43,2;1,97;Below Median
Popeyes;Mega Kafes Patates;280,5;37,9;3,07;11,09;90;Side;None/Vegetarian;Large;Global Chain;3,12;0,0341;35,6;4,4;54;1;52,1;1,73;Below Median
Popeyes;Kova Kafes Patates;402,6;54,4;5,04;17,01;110;Side;None/Vegetarian;Large;Global Chain;3,66;0,0458;38;5;54;0;76,4;1,44;Below Median
Popeyes;Küçük Patates;213,6;29,09;2,04;9,04;75;Side;None/Vegetarian;Small;Global Chain;2,85;0,0272;38,1;3,8;54,5;0;40,2;1,87;Below Median
Popeyes;Orta Patates;334,8;46,9;3,08;14,07;80;Side;None/Vegetarian;Medium;Global Chain;4,19;0,0385;37,8;3,7;56;0;64;1,25;Below Median
Popeyes;Büyük Patates;409,9;57,4;4,06;18;85;Side;None/Vegetarian;Large;Global Chain;4,82;0,0478;39,5;4;56;0;79,5;1,07;Below Median
Popeyes;Mega Patates;490,7;68,7;5,05;21,05;90;Side;None/Vegetarian;Large;Global Chain;5,45;0,0561;38,6;4,1;56;1;94,8;0,95;Below Median
Popeyes;Kova Patates;704,3;98,6;8;30,09;110;Side;None/Vegetarian;Large;Global Chain;6,4;0,0727;38,5;4,5;56;0;136,7;0,8;Below Median
Popeyes;GÖĞÜS PARÇA;399,1;13,05;41,4;19,07;115;Chicken Piece;Chicken;Regular;Global Chain;3,47;0,36;43;41,5;13,1;0;73,5;1,56;Below Median
Popeyes;KABURA PARÇA;356,2;7,03;39,6;18,05;115;Chicken Piece;Mixed/Processed Meat;Regular;Global Chain;3,1;0,3443;45,6;44,5;7,9;0;64,7;1,78;Below Median
Popeyes;KALÇA PARÇA;485;11,05;31,4;34,5;115;Chicken Piece;Chicken;Regular;Global Chain;4,22;0,273;64;25,9;9,1;0;77;1,49;Below Median
Popeyes;TENDERS PARÇA;116,5;5;11,09;5,03;125;Chicken Piece;Chicken;Regular;Global Chain;0,93;0,0887;38,9;38,1;17,2;0;21,1;5,92;Below Median
Popeyes;BUT PARÇA;225;3,06;24,01;12,05;115;Chicken Piece;Chicken;Regular;Global Chain;1,96;0,2088;48,2;42,7;5,4;0;39,1;2,94;Below Median
Popeyes;ACILI KANAT PARÇA;121,2;2,03;9,04;8,02;100;Chicken Piece;Mixed/Processed Meat;Regular;Global Chain;1,21;0,0904;59,6;29,8;6,7;0;19,1;5,24;Below Median
Popeyes;GOLDEN BUT PARÇA;270,3;4,04;25,06;16,03;120;Chicken Piece;Chicken;Regular;Global Chain;2,25;0,2088;53,4;37,1;6;0;45,1;2,66;Below Median
Popeyes;GÖĞÜS FİLETO PARÇA;196,4;4,05;21,03;10,02;115;Chicken Piece;Chicken;Regular;Global Chain;1,71;0,1829;45,9;42,8;8,2;0;35,1;3,28;Below Median
Popeyes;Tenders 2li;233;10,01;23,08;10,07;125;Chicken Piece;Chicken;Regular;Global Chain;1,86;0,1846;38,9;39,6;17,2;0;43,2;2,89;Below Median
Popeyes;Tenders 3'lü;349,4;15,01;35,7;16;125;Chicken Piece;Chicken;Small;Global Chain;2,8;0,2856;41,2;40,9;17,2;0;66,7;1,87;Below Median
Popeyes;Tenders 4'lü;465,9;20,02;47,6;21,03;125;Chicken Piece;Chicken;Small;Global Chain;3,73;0,3808;40,6;40,9;17,2;0;88,6;1,41;Below Median
Popeyes;Nugget 3'lü;69,1;4,05;5,08;3;50;Nuggets;Chicken;Small;Global Chain;1,38;0,1016;39,1;29,4;23,4;0;12,1;4,13;Below Median
Popeyes;Nugget 4'lü;92,2;5,09;7,08;4,01;50;Nuggets;Chicken;Small;Global Chain;1,84;0,1416;39,1;30,7;22,1;0;16,2;3,09;Below Median
Popeyes;Nugget 8'li;184,3;11,09;15,06;8,01;220;Nuggets;Chicken;Regular;Global Chain;0,84;0,0685;39,1;32,7;24,1;0;34,2;6,43;Below Median
Popeyes;Nugget 10'lu;230,4;14,08;19,04;10,01;220;Nuggets;Chicken;Regular;Global Chain;1,05;0,0865;39,1;33,1;24,4;0;43,1;5,1;Below Median
Popeyes;Nugget 15'li;345,6;22,03;29,2;15,02;250;Nuggets;Chicken;Large;Global Chain;1,38;0,1168;39,1;33,8;25,5;0;66,2;3,78;Below Median
Popeyes;Nugget 20'li;460,8;29,07;38,9;20,03;275;Nuggets;Chicken;Large;Global Chain;1,68;0,1415;39,1;33,8;25,2;0;88;3,12;Below Median
Popeyes;Nugget 30'lu;691,2;44,5;58,3;30,04;275;Nuggets;Chicken;Large;Global Chain;2,51;0,212;39,1;33,7;25,8;0;132,8;2,07;Below Median
Popeyes;Dip'n 4'lü;127;5,05;9,08;7;50;Nuggets;Chicken;Small;Global Chain;2,54;0,1816;49,6;28,6;15,9;0;21,1;2,37;Below Median
Popeyes;Dip'n 10'lu;317,4;13,07;24,05;17,06;220;Nuggets;Chicken;Regular;Global Chain;1,44;0,1093;48,4;30,3;16,5;0;54,2;4,06;Below Median
Popeyes;Dip'n 15'li;476,1;20,05;36,8;26,04;250;Nuggets;Chicken;Large;Global Chain;1,9;0,1472;49,2;30,9;16,8;0;82,9;3,02;Below Median
Popeyes;Dip'n 20'li;634,8;27,03;49,1;35,2;275;Nuggets;Chicken;Large;Global Chain;2,31;0,1785;49,9;30,9;17;0;111,3;2,47;Below Median
Popeyes;Pop Chicken;694,8;57,7;31,4;36,4;260;Chicken Piece;Chicken;Regular;Global Chain;2,67;0,1208;47,2;18,1;33,2;0;125,5;2,07;Below Median
Popeyes;Double Pop Chicken;864,5;60,2;55,1;43,6;260;Chicken Piece;Chicken;Large;Global Chain;3,32;0,2119;45,4;25,5;27,9;1;158,9;1,64;Below Median
Popeyes;Maxi Dürüm(Pop Dürüm);600,2;46,2;29,05;32,6;290;Wrap/Dürüm;Mixed/Processed Meat;Regular;Global Chain;2,07;0,1002;48,9;19,4;30,8;0;107,8;2,69;Below Median
Popeyes;Tavuk Burger;457,7;39,3;19,08;24;240;Burger;Chicken;Regular;Global Chain;1,91;0,0795;47,2;16,7;34,3;0;82,4;2,91;Below Median
Popeyes;Kids Tavukburger;319,4;41,4;19,06;7,07;245;Kids Menu;Chicken;Regular;Global Chain;1,3;0,0778;19,9;23,9;51,8;0;67,5;3,63;Below Median
Popeyes;Nuggets Salata;423,8;28,02;30,09;20,04;305;Nuggets;Chicken;Regular;Global Chain;1,39;0,0987;42,6;28,4;26,4;0;78,2;3,9;Below Median
Popeyes;XL Sandviç;743,8;66,6;34,1;41;320;Sandwich;Mixed/Processed Meat;Large;Global Chain;2,32;0,1066;49,6;18,3;35,8;1;141,7;2,26;Below Median
Popeyes;Gurme Sandviç Peynirli;787,9;67,2;36,6;44,5;320;Sandwich;Mixed/Processed Meat;Regular;Global Chain;2,46;0,1144;50,8;18,6;34,1;1;148,3;2,16;Below Median
Popeyes;Poppy Sandviç;424,8;33,8;14,05;26,01;260;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,63;0,054;55,1;13,2;31,8;0;73,9;3,52;Below Median
Popeyes;Smoky XL;905,9;80,3;50,3;45,7;400;Sandwich;Mixed/Processed Meat;Large;Global Chain;2,26;0,1258;45,4;22,2;35,5;1;176,3;2,27;Above Median
Popeyes;Mangal Rüyası;604,9;47,2;29,06;32,7;290;Sandwich;Mixed/Processed Meat;Regular;Global Chain;2,09;0,1002;48,7;19,2;31,2;0;109;2,66;Below Median
Arby's;Klasik Gurme Tavuk Sandviç;747,1;58,4;36,7;39,6;350;Sandwich;Chicken;Regular;Global Chain;2,13;0,1049;47,7;19,6;31,3;1;134,7;2,6;Above Median
Arby's;Barbekü Klasik Gurme Tavuk Sandviç;691,6;70,4;40,1;26,07;310;Sandwich;Chicken;Regular;Global Chain;2,23;0,1294;33,9;23,2;40,7;1;136,6;2,27;Below Median
Arby's;Smoky Chicken Sandviç;719,3;55,2;41;36,3;370;Sandwich;Chicken;Regular;Global Chain;1,94;0,1108;45,4;22,8;30,7;1;132,5;2,79;Above Median
Arby's;Tavukburger Klasik;558,1;45,7;16,03;33,1;230;Burger;Chicken;Regular;Global Chain;2,43;0,0697;53,4;11,5;32,8;0;94,8;2,43;Below Median
Arby's;Chipotle Soslu Tavukburger Sandviç;540,6;34,5;18,04;35,5;230;Burger;Chicken;Regular;Global Chain;2,35;0,0784;59,1;13,3;25,5;0;88;2,61;Below Median
Arby's;Roast Chicken Deluxe;393,7;36;21,05;17,05;300;Sandwich;Chicken;Regular;Global Chain;1,31;0,0702;39;21,4;36,6;1;74,1;4,05;Below Median
Arby's;Çıtır Baget Tavuklu Sandviç;510,2;69,3;22,07;14,08;290;Sandwich;Chicken;Regular;Global Chain;1,76;0,0761;24,8;17,3;54,3;0;105,4;2,75;Below Median
Arby's;Çıtır Baget Tavuklu Sandviç 2;493,2;69,2;19,04;14,04;290;Sandwich;Chicken;Regular;Global Chain;1,7;0,0657;25,6;15,4;56,1;0;102,3;2,83;Below Median
Arby's;Roast Chicken Deluxe Junior Sandviç;310,8;24,01;16,09;15,08;250;Sandwich;Chicken;Small;Global Chain;1,24;0,0644;43,7;20,7;30,9;1;55,2;4,53;Below Median
Arby's;Chipotle Soslu Roast Chicken Sandviç;395,6;24;19,05;24,03;300;Sandwich;Chicken;Regular;Global Chain;1,32;0,0635;54,7;19,3;24,3;0;67,1;4,47;Below Median
Arby's;Gyro Wrap Tavuklu Sandviç;483;53,4;22,01;19,09;350;Wrap/Dürüm;Chicken;Regular;Global Chain;1,38;0,0629;35,6;18,2;44,2;0;94,5;3,7;Above Median
Arby's;Klasik Füme Kaburga Sandviç;661,6;45,5;32,7;35,4;440;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,5;0,0743;48,2;19,8;27,5;0;113,6;3,87;Above Median
Arby's;Bol Peynirli Baget Sandviç;837,3;66;37,1;43,7;440;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,9;0,0843;47;17,7;31,5;0;146,8;3;Above Median
Arby's;Klasik Biftek Sandviç;600,6;49;32,6;29,06;450;Sandwich;Beef;Regular;Global Chain;1,33;0,0724;43,5;21,7;32,6;0;110,7;4,07;Above Median
Arby's;Philly Baget;752,9;68,3;36,7;35,9;435;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,73;0,0844;42,9;19,5;36,3;0;140,9;3,09;Above Median
Arby's;Philly Brioche Sandviç;626,1;44,3;37,4;32,2;450;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,39;0,0831;46,3;23,9;28,3;0;113,9;3,95;Above Median
Arby's;Beef'n Sandviç;471,7;46;24,05;21,07;405;Sandwich;Beef;Regular;Global Chain;1,16;0,0594;40,2;20,4;39;0;91,1;4,45;Above Median
Arby's;Beef'n Cheddar XL;550,3;46,4;33;25,02;515;Sandwich;Beef;Large;Global Chain;1,07;0,0641;40,9;24;33,7;1;104,4;4,93;Above Median
Arby's;Roast Beef Deluxe Sandviç;451,1;40,2;18,08;23;395;Sandwich;Beef;Regular;Global Chain;1,14;0,0458;45,9;16;35,6;1;81,3;4,86;Above Median
Arby's;Arby's Deluxe XL;602,3;55,4;29,09;28,02;505;Sandwich;Mixed/Processed Meat;Large;Global Chain;1,19;0,0576;41,9;19,3;36,8;1;112,5;4,49;Above Median
Arby's;Barbekü Delux Sandviç;489,4;47,5;22;22,09;395;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,24;0,0557;40,6;18;38,8;0;91,6;4,31;Above Median
Arby's;Barbekü Deluxe XL;657;52,5;30,05;35,5;505;Sandwich;Mixed/Processed Meat;Large;Global Chain;1,3;0,0595;48,6;18,3;32;1;118;4,28;Above Median
Arby's;Arby's Classic Sandviç;424,8;35,4;18,02;22,07;395;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,08;0,0456;46,8;17;33,3;0;75,5;5,23;Above Median
Arby's;Arby's Melt Sandviç;341,3;35,5;18,05;13,04;395;Sandwich;Mixed/Processed Meat;Regular;Global Chain;0,86;0,0457;34,4;21,2;41,6;0;66,6;5,93;Above Median
Arby's;Çıtır Baget Etli Sandviç;549,3;70;19,08;20;390;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,41;0,0489;32,8;13,9;51;0;109,1;3,57;Above Median
Arby's;Arbys Roast Beef Deluxe Junior;352;27,02;15,01;19,07;375;Sandwich;Beef;Small;Global Chain;0,94;0,04;48,8;17,1;30,7;1;61,1;6,14;Above Median
Arby's;Chipotle Soslu Roast Beef Sandviç;419,3;23,08;17,03;27,09;395;Sandwich;Beef;Regular;Global Chain;1,06;0,0431;58,1;16,2;22;0;67,2;5,88;Above Median
Arby's;Kids Roast Beef;252,2;27,01;15,05;8,06;230;Kids Menu;Beef;Regular;Global Chain;1,1;0,0654;28,8;23,9;42,8;0;50,1;4,59;Below Median
Arby's;Kids Roast Chicken;311,2;23,04;17,06;15,09;230;Kids Menu;Chicken;Regular;Global Chain;1,35;0,0742;43,6;21,9;29,6;0;55,2;4,17;Below Median
Arby's;Etli Baget Jr;346,6;48,1;12,07;10,08;390;Sandwich;Mixed/Processed Meat;Small;Global Chain;0,89;0,0309;26,2;13,9;55,5;0;70,2;5,56;Above Median
Arby's;Tavuklu Baget Jr;387,4;49,2;16,01;13,02;290;Sandwich;Chicken;Small;Global Chain;1,34;0,0552;30,2;16,5;50,8;0;78,2;3,71;Below Median
Arby's;Beef'n Cheddar Jr;282,9;26,05;14,08;12,06;355;Sandwich;Beef;Small;Global Chain;0,8;0,0397;38,4;19,9;36,8;0;52,2;6,8;Above Median
Subway;Biftek Peynir Sandviç;340;42;22;8;340;Sandwich;Beef;Regular;Global Chain;1;0,0647;21,2;25,9;49,4;0;72;4,72;Below Median
Subway;Marinara Soslu Köfte Sandviç;483;34;26;26;300;Sandwich;Beef;Regular;Global Chain;1,61;0,0867;48,4;21,5;28,2;0;86;3,49;Below Median
Subway;Türk Usulü Subway Melt Sandviç;319;40;22;7;300;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,06;0,0733;19,7;27,6;50,2;0;69;4,35;Below Median
Subway;Teriyaki Tavuk Sandviç;325;39;24;7;280;Sandwich;Chicken;Regular;Global Chain;1,16;0,0857;19,4;29,5;48;0;70;4;Below Median
Subway;Hindi Jambon Sandviç;386;57;20;8;285;Sandwich;Chicken;Regular;Global Chain;1,35;0,0702;18,7;20,7;59,1;0;85;3,35;Below Median
Subway;Sebze Keyfi Sandviç;211;34;9;4;225;Sandwich;Vegetarian;Regular;Global Chain;0,94;0,04;17,1;17,1;64,5;0;47;4,79;Below Median
Subway;Sicilyana;497;44;16;28;295;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,68;0,0542;50,7;12,9;35,4;0;88;3,35;Below Median
Subway;Efsane Teriyaki;386;38;25;14;280;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,38;0,0893;32,6;25,9;39,4;0;77;3,64;Below Median
Subway;Club Subway;460;39;29;20;300;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,53;0,0967;39,1;25,2;33,9;0;88;3,41;Below Median
Subway;Et Sever;452;48;27;16;340;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,33;0,0794;31,9;23,9;42,5;0;91;3,74;Below Median
Subway;Superstar BBQ;497;43;35;19;340;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,46;0,1029;34,4;28,2;34,6;0;97;3,51;Below Median
Subway;Egelim;332;35;14;14;285;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,16;0,0491;38;16,9;42,2;0;63;4,52;Below Median
Subway;Tex Mex;468;43;27;20;340;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,38;0,0794;38,5;23,1;36,8;0;90;3,78;Below Median
Subway;Ton Balıklı Sandviç;456;32;19;27;295;Sandwich;Fish/Seafood;Regular;Global Chain;1,55;0,0644;53,3;16,7;28,1;0;78;3,78;Below Median
Subway;Baharatlı İtalyan Sandviç;452;42;18;23;295;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,53;0,061;45,8;15,9;37,2;0;83;3,55;Below Median
Subway;İtalyan BMT;415;39;17;20;295;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,41;0,0576;43,4;16,4;37,6;0;76;3,88;Below Median
Subway;Hindi Göğüs Sandviç;314;39;21;7;285;Sandwich;Chicken;Regular;Global Chain;1,1;0,0737;20,1;26,8;49,7;0;67;4,25;Below Median
Subway;Tavuk Fileto Sandviç;361;38;25;11;285;Sandwich;Chicken;Regular;Global Chain;1,27;0,0877;27,4;27,7;42,1;0;74;3,85;Below Median
Subway;Rozbif Sandviç;352;41;27;8;340;Sandwich;Beef;Regular;Global Chain;1,04;0,0794;20,5;30,7;46,6;0;76;4,47;Below Median
Subway;Domatesli Toasty;112;12;5;4;85;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,32;0,0588;32,1;17,9;42,9;0;21;4,05;Below Median
Subway;Pepperoni Toasty;273;20;10;16;130;Sandwich;Mixed/Processed Meat;Regular;Global Chain;2,1;0,0769;52,7;14,7;29,3;0;46;2,83;Below Median
Subway;Hindi Göğüs Süzme Peynir (Porsiyon);390,1;52,5;28,01;7,08;285;Döner;Chicken;Regular;Global Chain;1,37;0,0983;16,3;28,7;53,8;0;87,6;3,25;Below Median
Subway;Teriyaki Tavuk Peynir (Porsiyon);399,1;42,3;34,3;10,05;280;Döner;Chicken;Regular;Global Chain;1,43;0,1225;22,7;34,4;42,4;0;86,6;3,23;Below Median
Subway;Rozbif Cheddar (Porsiyon);449,2;41,5;38,1;14,06;340;Sandwich;Beef;Regular;Global Chain;1,32;0,1121;28,2;33,9;37;0;93,7;3,63;Below Median
Sbarro;Sucuklu Favori Pizza;275,5;36,3;9,08;10,06;305;Pizza;Beef;Regular;Global Chain;0,9;0,0298;32,9;13,2;52,7;0;55,4;5,51;Below Median
Sbarro;Etli Karışık Pizza;309,8;33,1;11,02;15,01;295;Pizza;Mixed/Processed Meat;Regular;Global Chain;1,05;0,0374;43,6;14,2;42,7;0;59,1;4,99;Below Median
Sbarro;Karışık Sosisli Pizza;234,9;27;8,09;10,08;305;Pizza;Beef;Regular;Global Chain;0,77;0,0265;38,6;13,8;46;0;45,2;6,75;Below Median
Sbarro;Eko Sucuklu Pizza;281;37,7;11,09;9,05;305;Pizza;Beef;Regular;Global Chain;0,92;0,0364;29;15,8;53,7;0;57,8;5,28;Below Median
Sbarro;Dört Peynirli Pizza;287,7;33,6;12,06;12,01;415;Pizza;Vegetarian;Regular;Global Chain;0,69;0,0291;37,6;16,8;46,7;0;57,7;7,19;Above Median
Sbarro;Barbekü Tavuklu Pizza;269,7;43;11,02;11,03;315;Pizza;Chicken;Regular;Global Chain;0,86;0,035;36,8;16,3;63,8;0;65;4,85;Below Median
Sbarro;Gamer Pizza;294,6;28,01;10,03;16,02;325;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,91;0,0309;48,9;13,6;38;0;54,1;6,01;Below Median
Sbarro;Margarita;249;31;12;8;305;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,82;0,0393;28,9;19,3;49,8;0;51;5,98;Below Median
Sbarro;Supreme Pizza;223;27;10;8;325;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,69;0,0308;32,3;17,9;48,4;1;45;7,22;Below Median
Sbarro;Pepperoni Pizza;261;30;12;9;305;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,86;0,0393;31;18,4;46;0;51;5,98;Below Median
Sbarro;Gennaro Pizza;243;28;10;9;315;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,77;0,0317;33,3;16,5;46,1;0;47;6,7;Below Median
Sbarro;Gurme Sucuklu;230;26;10;9;325;Pizza;Beef;Regular;Global Chain;0,71;0,0308;35,2;17,4;45,2;1;45;7,22;Below Median
Sbarro;Ton Balıklı Pizza;226;24;12;8;315;Pizza;Fish/Seafood;Regular;Global Chain;0,72;0,0381;31,9;21,2;42,5;0;44;7,16;Below Median
Usta Dönerci;Tavuk Tombik;673,3;64,3;33,9;30,01;260;Döner;Chicken;Regular;Local Chain;2,59;0,1304;40,1;20,1;38,2;0;128,2;2,03;Below Median
Usta Dönerci;Tavuk Dürüm;920;80;40,4;39,9;290;Wrap/Dürüm;Chicken;Regular;Local Chain;3,17;0,1393;39;17,6;34,8;0;160,3;1,81;Below Median
Usta Dönerci;Ekmek Arası Tavuk Döner;676,7;71,5;23,03;28,04;265;Döner;Chicken;Regular;Local Chain;2,55;0,0869;37,3;13,6;42,3;0;122,6;2,16;Below Median
Usta Dönerci;Ekmek Arası Tavuk Döner Büyük Seçim;744,5;71,5;31,6;32,1;265;Döner;Chicken;Large;Local Chain;2,81;0,1192;38,8;17;38,4;0;135,2;1,96;Below Median
Usta Dönerci;Ekmek Arası Tavuk Döner Mega Seçim;812,3;71,5;39,8;35,7;265;Döner;Chicken;Large;Local Chain;3,07;0,1502;39,6;19,6;35,2;1;147;1,8;Below Median
Usta Dönerci;İskender Tavuk;1011,5;79,5;46,5;55,5;310;Döner;Chicken;Regular;Local Chain;3,26;0,15;49,4;18,4;31,4;0;181,5;1,71;Below Median
Usta Dönerci;İskender Tavuk (Büyük Seçim);1079,3;79,5;54,7;59,1;310;Döner;Chicken;Large;Local Chain;3,48;0,1765;49,3;20,3;29,5;0;193,3;1,6;Below Median
Usta Dönerci;İskender Tavuk (Mega Seçim);1147,1;79,5;63;62,8;310;Döner;Chicken;Large;Local Chain;3,7;0,2032;49,3;22;27,7;1;205,3;1,51;Below Median
Usta Dönerci;Çocuk Tavuk Dürüm;481,8;67,7;21,01;5,08;290;Kids Menu;Chicken;Regular;Local Chain;1,66;0,0724;9,5;17,4;56,2;0;93,8;3,09;Below Median
Usta Dönerci;Baget Tavuk Döner;454,8;54,9;12,01;17,05;265;Döner;Chicken;Regular;Local Chain;1,72;0,0453;33,7;10,6;48,3;0;84;3,15;Below Median
Usta Dönerci;Pilav Üstü Tavuk Döner;732,9;84,8;37,6;24,08;290;Döner;Chicken;Regular;Local Chain;2,53;0,1297;29,6;20,5;46,3;0;146,5;1,98;Below Median
